Feature,Importance
ideol_score,0.12711534229700366
PC1_hier,0.11501999777219458
PC2_hier,0.08787543639397918
PC3_hier,0.08760760608249044
PC1_squared,0.07522166127815501
total_rel,0.0724185308050156
PC1_x_PC2,0.07067842219254478
total_warfare_tech,0.055289734295686774
moral_score,0.05175092269749748
weapons_count,0.04763283932599678
advanced_tech_count,0.04739994666118227
material_count,0.04464507379321174
fortification_count,0.043448522253377655
cavalry_count,0.026507488080580104
armor_count,0.025609533815549517
legit_score,0.021778942255534558
